Transcript	logFC	logCPM	PValue	FDR
TRINITY_DN5022_c0_g2_i1	10.0401687977833	10.9152576386253	0	0
TRINITY_DN87_c0_g2_i1	9.14950563541908	11.6407970888824	0	0
TRINITY_DN5038_c0_g1_i1	8.92426720390026	12.7219354127598	0	0
TRINITY_DN3236_c0_g1_i1	8.91932627367575	9.29252637173027	0	0
TRINITY_DN2419_c0_g1_i1	8.10929080080024	8.58141994129351	0	0
TRINITY_DN3871_c0_g1_i1	7.7543712077664	9.25640243948022	0	0
TRINITY_DN6864_c0_g1_i1	7.73028701204003	8.9260271999051	0	0
TRINITY_DN611_c0_g1_i1	7.66536983319938	10.5076258464513	0	0
TRINITY_DN1587_c0_g1_i1	7.17430031288345	10.3717969785963	0	0
TRINITY_DN6438_c0_g1_i1	-7.04316234678501	10.7434856887758	0	0
TRINITY_DN6168_c0_g1_i1	6.90061338062288	11.6111417960125	0	0
TRINITY_DN4276_c0_g1_i1	6.78425384072245	9.16312352820488	0	0
TRINITY_DN3846_c0_g1_i1	6.5778709318297	11.1754477263928	0	0
TRINITY_DN799_c0_g1_i1	6.47830448861586	9.32933379722322	0	0
TRINITY_DN2201_c0_g1_i1	6.34004786002825	11.7872593642329	0	0
TRINITY_DN4566_c0_g1_i1	6.29561304892507	9.30474620213402	0	0
TRINITY_DN5261_c0_g1_i1	-6.23078236795097	11.0984615207653	0	0
TRINITY_DN2747_c0_g1_i1	6.17098556208821	9.61460680014219	0	0
TRINITY_DN337_c1_g1_i1	-6.10417393336538	10.0408149408387	0	0
TRINITY_DN2497_c0_g1_i1	6.02305868836657	9.48113736810243	0	0
TRINITY_DN4155_c0_g1_i1	6.00685176975797	8.05681885682357	0	0
TRINITY_DN1196_c0_g1_i1	5.98630206967252	9.76537821747278	0	0
TRINITY_DN3161_c0_g1_i1	5.97639880187241	10.3081891190624	0	0
TRINITY_DN361_c0_g2_i1	-5.96366099876064	8.35736124091884	0	0
TRINITY_DN3158_c0_g1_i1	-5.54472116033632	9.95853675679593	0	0
TRINITY_DN6311_c0_g1_i1	5.5342386724936	10.2801073673473	0	0
TRINITY_DN3919_c0_g1_i1	-5.52993545019399	8.67920456381953	0	0
TRINITY_DN720_c0_g1_i1	5.5258056252387	9.18358662405577	0	0
TRINITY_DN1623_c0_g1_i1	5.51928103738801	10.8638657886429	0	0
TRINITY_DN893_c0_g1_i1	5.51507771195254	10.3759964327278	0	0
TRINITY_DN5369_c0_g1_i1	-5.51070621825682	9.89849889947007	0	0
TRINITY_DN768_c0_g1_i1	-5.19648167414695	9.86735226884163	0	0
TRINITY_DN3848_c0_g1_i1	5.13958753719772	10.7702998348742	0	0
TRINITY_DN4111_c0_g1_i1	5.10323961242546	8.89166322097915	0	0
TRINITY_DN6399_c0_g1_i1	-5.07212295513554	11.6957324022045	0	0
TRINITY_DN1693_c0_g1_i1	5.02301076382396	9.38871712028337	0	0
TRINITY_DN4409_c0_g1_i1	4.98428467785534	10.3412199247028	0	0
TRINITY_DN6226_c0_g1_i1	4.98040686803294	9.78814884317858	0	0
TRINITY_DN1736_c0_g1_i1	4.95539998915514	11.3403463125083	0	0
TRINITY_DN2690_c0_g1_i1	4.90968021357018	10.6968535077541	0	0
TRINITY_DN5853_c0_g1_i1	4.80884129684146	10.3628538049112	0	0
TRINITY_DN196_c0_g2_i1	-4.80646469276775	9.96473326166367	0	0
TRINITY_DN1699_c0_g1_i1	4.76144233345934	10.9200450558624	0	0
TRINITY_DN949_c0_g1_i1	-4.75501895678824	9.55275803928877	0	0
TRINITY_DN6218_c0_g1_i1	-4.70150103679931	10.3145304053886	0	0
TRINITY_DN681_c0_g1_i1	4.65731095087214	10.4459550440141	0	0
TRINITY_DN529_c0_g1_i1	-4.64571456467299	9.19475248422234	0	0
TRINITY_DN1097_c0_g1_i1	4.61005893448728	9.73567950389772	0	0
TRINITY_DN1227_c0_g1_i1	-4.50987281648956	9.94663479384446	0	0
TRINITY_DN6356_c0_g1_i1	4.47106315771447	9.83262955586326	0	0
TRINITY_DN3077_c0_g2_i1	-4.43951727677995	11.059552080905	0	0
TRINITY_DN5341_c0_g1_i1	4.42677485070879	11.4382923404907	0	0
TRINITY_DN2730_c0_g1_i1	4.36963972947915	11.0247206597929	0	0
TRINITY_DN415_c1_g1_i1	-4.21732900509385	10.8780849962383	0	0
TRINITY_DN1740_c0_g5_i1	4.20048739703848	12.4560601004978	0	0
TRINITY_DN439_c0_g1_i1	4.14794501295397	10.9665226490724	0	0
TRINITY_DN1695_c0_g1_i1	4.11008471107035	9.9086679913598	0	0
TRINITY_DN5232_c0_g1_i1	-3.79613979515573	10.9416687501458	0	0
TRINITY_DN2787_c0_g1_i1	3.7246042893323	12.1733462309872	0	0
TRINITY_DN4577_c0_g1_i1	-5.92868657226217	8.12430309432021	5.0345289311223e-321	6.37957324536051e-319
TRINITY_DN1670_c0_g1_i1	-5.85407765447967	8.19641549134446	2.73391323939383e-317	3.40753153549545e-315
TRINITY_DN952_c0_g1_i1	-4.25508814700813	9.16032328009513	5.35936721195e-317	6.57214014796718e-315
TRINITY_DN7153_c0_g1_i1	9.56968616329769	7.85402476470429	1.4962924821799e-316	1.80576376857361e-314
TRINITY_DN4552_c0_g1_i1	7.66447997583283	7.70461381975524	2.33808969646934e-315	2.77757749409252e-313
TRINITY_DN293_c0_g1_i1	3.96461300658648	9.1611994467852	3.02933968585346e-312	3.54339532792981e-310
TRINITY_DN2727_c0_g1_i1	4.88096746538834	8.79701928570877	7.43133028083078e-312	8.56066729169036e-310
TRINITY_DN6273_c0_g1_i1	4.10555188756724	10.0799615268754	3.20236448186775e-310	3.63396673964783e-308
TRINITY_DN1762_c0_g1_i1	-3.71347351279474	9.51004125454731	3.01896944983226e-309	3.3754742245698e-307
TRINITY_DN4435_c0_g1_i1	-6.709607320176	7.81756674107715	2.75910656794305e-305	3.04021554145957e-303
TRINITY_DN4446_c0_g1_i1	3.77755012111325	9.43812936981062	1.39682545305854e-304	1.51715198851487e-302
TRINITY_DN507_c0_g1_i1	3.59959533571759	9.76629295921007	2.78519963587351e-301	2.98251730021779e-299
TRINITY_DN6366_c0_g1_i1	-3.12080434922972	10.819210742421	1.58688491858013e-297	1.67570639388399e-295
TRINITY_DN3960_c0_g1_i1	-4.83162185324887	8.47949907394021	3.52001191175922e-294	3.66611651576786e-292
TRINITY_DN6637_c0_g1_i1	4.72416806020497	10.7910634384503	1.71088583251307e-293	1.75781959251309e-291
TRINITY_DN2065_c0_g1_i1	-3.34418640369145	10.051754770624	9.4693692755049e-293	9.59941528022183e-291
TRINITY_DN4497_c0_g1_i1	4.18788598477872	9.46204634910887	2.15810344441068e-292	2.15895532734927e-290
TRINITY_DN749_c0_g1_i1	-5.32251598810786	7.88254305314057	1.26078214571451e-288	1.24489956543733e-286
TRINITY_DN5082_c0_g5_i1	6.92933851198776	12.3104991759612	5.40865930047594e-288	5.27205598224597e-286
TRINITY_DN3510_c0_g1_i1	6.37943729888856	7.69530890136207	2.1057674912624e-284	2.02660129570482e-282
TRINITY_DN518_c0_g1_i1	6.75088406642543	8.21404054714281	1.65754535625901e-282	1.57528966795465e-280
TRINITY_DN407_c0_g2_i1	4.91569222510142	8.03109219670329	3.04824781979785e-276	2.86121335480531e-274
TRINITY_DN850_c0_g1_i1	3.30915163976313	10.4227695898092	6.34575039615773e-276	5.88374881243747e-274
TRINITY_DN2146_c0_g1_i1	-4.2619693532452	10.2941971252805	1.75020232353265e-275	1.60322750190587e-273
TRINITY_DN5960_c0_g1_i1	4.57787014270917	10.0147543771303	1.82454392358443e-274	1.65142945845386e-272
TRINITY_DN1843_c0_g1_i1	-4.17083020635496	8.39627324700929	3.81456134430016e-274	3.41201292949578e-272
TRINITY_DN337_c0_g2_i1	-3.55247233051928	10.1345649193534	1.25936721380196e-272	1.1133684798298e-270
TRINITY_DN6683_c0_g1_i1	-10.1766082204609	7.24362669743797	2.12018762187741e-271	1.85284902173953e-269
TRINITY_DN5378_c0_g1_i1	-4.10297976959747	8.93571509005975	1.57943060507362e-266	1.36459214663349e-264
